workload,before,after,change_percent,unit
JSON/memory/tiny,776.0,552.0,-28.87,bytes
JSON/parse/tiny,476.6,443.5,-6.95,ns
JSON/chunks-4096/tiny,1051.0,729.7,-30.57,ns
JSON/memory/object-8,1369.0,1033.0,-24.54,bytes
JSON/parse/object-8,610.6,605.6,-0.82,ns
JSON/find-last/object-8,14.0,13.8,-1.43,ns
JSON/find-missing/object-8,2.5,2.5,0.0,ns
JSON/memory/object-32,5469.0,4469.0,-18.28,bytes
JSON/parse/object-32,2557.5,2575.2,0.69,ns
JSON/find-last/object-32,40.7,7.9,-80.59,ns
JSON/find-missing/object-32,7.6,5.7,-25.0,ns
JSON/memory/object-1000,125949.0,101973.0,-19.04,bytes
JSON/parse/object-1000,741758.0,80210.0,-89.19,ns
JSON/find-last/object-1000,1479.9,11.5,-99.22,ns
JSON/find-missing/object-1000,194.3,6.0,-96.91,ns
JSON/chunks-4096/object-1000,1632831.0,150093.0,-90.81,ns
JSON/memory/object-8000,1023013.0,831037.0,-18.77,bytes
JSON/parse/object-8000,42914565.0,721652.0,-98.32,ns
JSON/find-last/object-8000,11900.8,9.5,-99.92,ns
JSON/find-missing/object-8000,13136.5,6.0,-99.95,ns
JSON/memory/array-100KiB,2053665.0,1488801.0,-27.51,bytes
JSON/parse/array-100KiB,670096.0,674799.0,0.7,ns
JSON/chunks-4096/array-100KiB,1580850.0,1193839.0,-24.48,ns
JSON/memory/array-1MiB,16944909.0,12197021.0,-28.02,bytes
JSON/parse/array-1MiB,11244161.0,10371336.0,-7.76,ns
JSON/memory/escapes,4552.0,4456.0,-2.11,bytes
JSON/parse/escapes,370.8,352.4,-4.96,ns
XML/memory/tiny,250.0,250.0,0.0,bytes
XML/parse/tiny,288.9,292.6,1.28,ns
XML/chunks-4096/tiny,575.6,448.6,-22.06,ns
XML/memory/attributes-8,399.0,399.0,0.0,bytes
XML/parse/attributes-8,468.5,473.0,0.96,ns
XML/attribute-last/attributes-8,23.0,29.2,26.96,ns
XML/memory/attributes-32,1427.0,1723.0,20.74,bytes
XML/parse/attributes-32,2404.4,1688.6,-29.77,ns
XML/attribute-last/attributes-32,73.1,8.3,-88.65,ns
XML/memory/attributes-1000,45619.0,53851.0,18.05,bytes
XML/parse/attributes-1000,1203949.0,90054.0,-92.52,ns
XML/attribute-last/attributes-1000,2171.4,12.7,-99.42,ns
XML/chunks-4096/attributes-1000,1936032.0,91459.0,-95.28,ns
XML/memory/elements-100KiB,626712.0,626712.0,0.0,bytes
XML/parse/elements-100KiB,493498.0,483905.0,-1.94,ns
XML/iterate-children/elements-100KiB,7422.5,6887.6,-7.21,ns
XML/chunks-4096/elements-100KiB,1109927.0,864460.0,-22.12,ns
XML/memory/elements-1MiB,9437193.0,9437193.0,0.0,bytes
XML/parse/elements-1MiB,5621524.0,5424811.0,-3.5,ns
